"No.","Time","Source","Destination","Protocol","Length","Info"
"49","40.363907691","192.168.100.9","192.168.100.5","UDP","60","1699  >  80 Len=0"
"50","40.363907853","192.168.100.9","192.168.100.5","UDP","60","1700  >  80 Len=0"
"51","40.364578502","192.168.100.9","192.168.100.5","UDP","60","1701  >  80 Len=0"
"52","40.365360667","192.168.100.9","192.168.100.5","UDP","60","1702  >  80 Len=0"
"53","40.365360814","192.168.100.9","192.168.100.5","UDP","60","1703  >  80 Len=0"
"54","40.366681073","192.168.100.9","192.168.100.5","UDP","60","1704  >  80 Len=0"
"55","40.367354099","192.168.100.9","192.168.100.5","UDP","60","1705  >  80 Len=0"
"56","40.367354296","192.168.100.9","192.168.100.5","UDP","60","1706  >  80 Len=0"
"57","40.368214307","192.168.100.9","192.168.100.5","UDP","60","1707  >  80 Len=0"
"58","40.373463850","192.168.100.9","192.168.100.5","UDP","60","1708  >  80 Len=0"
"59","40.373908391","192.168.100.9","192.168.100.5","UDP","60","1709  >  80 Len=0"
"60","40.374393278","192.168.100.9","192.168.100.5","UDP","60","1710  >  80 Len=0"
"61","40.375187083","192.168.100.9","192.168.100.5","UDP","60","1711  >  80 Len=0"
"62","40.376328145","192.168.100.9","192.168.100.5","UDP","60","1712  >  80 Len=0"
"63","40.376328283","192.168.100.9","192.168.100.5","UDP","60","1713  >  80 Len=0"
"64","40.377037574","192.168.100.9","192.168.100.5","UDP","60","1714  >  80 Len=0"
"65","40.377037708","192.168.100.9","192.168.100.5","UDP","60","1715  >  80 Len=0"
"66","40.377731945","192.168.100.9","192.168.100.5","UDP","60","1716  >  80 Len=0"
"67","40.378438363","192.168.100.9","192.168.100.5","UDP","60","1717  >  80 Len=0"
"68","40.379283493","192.168.100.9","192.168.100.5","UDP","60","1718  >  80 Len=0"
"69","40.379283647","192.168.100.9","192.168.100.5","UDP","60","1719  >  80 Len=0"
"70","40.379825806","192.168.100.9","192.168.100.5","UDP","60","1720  >  80 Len=0"
"71","40.379826006","192.168.100.9","192.168.100.5","UDP","60","1721  >  80 Len=0"
"72","40.381176048","192.168.100.9","192.168.100.5","UDP","60","1722  >  80 Len=0"
"73","40.381176220","192.168.100.9","192.168.100.5","UDP","60","1723  >  80 Len=0"
"74","40.381874351","192.168.100.9","192.168.100.5","UDP","60","1724  >  80 Len=0"
"75","40.382944208","192.168.100.9","192.168.100.5","UDP","60","1725  >  80 Len=0"
"76","40.384546298","192.168.100.9","192.168.100.5","UDP","60","1726  >  80 Len=0"
"77","40.384546496","192.168.100.9","192.168.100.5","UDP","60","1727  >  80 Len=0"
"78","40.385789106","192.168.100.9","192.168.100.5","UDP","60","1728  >  80 Len=0"
"79","40.387135376","192.168.100.9","192.168.100.5","UDP","60","1729  >  80 Len=0"
"80","40.387135644","192.168.100.9","192.168.100.5","UDP","60","1730  >  80 Len=0"
"81","40.388034373","192.168.100.9","192.168.100.5","UDP","60","1731  >  80 Len=0"
"82","40.389242885","192.168.100.9","192.168.100.5","UDP","60","1732  >  80 Len=0"
"83","40.389243085","192.168.100.9","192.168.100.5","UDP","60","1733  >  80 Len=0"
"84","40.390514253","192.168.100.9","192.168.100.5","UDP","60","1734  >  80 Len=0"
"85","40.390514545","192.168.100.9","192.168.100.5","UDP","60","1735  >  80 Len=0"
"86","40.391421837","192.168.100.9","192.168.100.5","UDP","60","1736  >  80 Len=0"
"87","40.391422025","192.168.100.9","192.168.100.5","UDP","60","1737  >  80 Len=0"
"88","40.391996192","192.168.100.9","192.168.100.5","UDP","60","1738  >  80 Len=0"
"89","40.392995254","192.168.100.9","192.168.100.5","UDP","60","1739  >  80 Len=0"
"90","40.392995448","192.168.100.9","192.168.100.5","UDP","60","1740  >  80 Len=0"
"91","40.393915575","192.168.100.9","192.168.100.5","UDP","60","1741  >  80 Len=0"
"92","40.393915735","192.168.100.9","192.168.100.5","UDP","60","1742  >  80 Len=0"
"93","40.395184039","192.168.100.9","192.168.100.5","UDP","60","1743  >  80 Len=0"
"94","40.396722412","192.168.100.9","192.168.100.5","UDP","60","1744  >  80 Len=0"
"95","40.396722603","192.168.100.9","192.168.100.5","UDP","60","1745  >  80 Len=0"
"96","40.397792532","192.168.100.9","192.168.100.5","UDP","60","1746  >  80 Len=0"
"97","40.397792731","192.168.100.9","192.168.100.5","UDP","60","1747  >  80 Len=0"
"98","40.397792791","192.168.100.9","192.168.100.5","UDP","60","1748  >  80 Len=0"
"99","40.398361130","192.168.100.9","192.168.100.5","UDP","60","1749  >  80 Len=0"
"100","40.399353393","192.168.100.9","192.168.100.5","UDP","60","1750  >  80 Len=0"
"101","40.399353598","192.168.100.9","192.168.100.5","UDP","60","1751  >  80 Len=0"
"102","40.400089117","192.168.100.9","192.168.100.5","UDP","60","1752  >  80 Len=0"
"103","40.401189668","192.168.100.9","192.168.100.5","UDP","60","1753  >  80 Len=0"
"104","40.401914616","192.168.100.9","192.168.100.5","UDP","60","1754  >  80 Len=0"
"105","40.401914819","192.168.100.9","192.168.100.5","UDP","60","1755  >  80 Len=0"
"106","40.402818416","192.168.100.9","192.168.100.5","UDP","60","1756  >  80 Len=0"
"107","40.403842102","192.168.100.9","192.168.100.5","UDP","60","1757  >  80 Len=0"
"108","40.403842283","192.168.100.9","192.168.100.5","UDP","60","1758  >  80 Len=0"
"109","40.405000100","192.168.100.9","192.168.100.5","UDP","60","1759  >  80 Len=0"
"110","40.405000408","192.168.100.9","192.168.100.5","UDP","60","1760  >  80 Len=0"
"111","40.405726050","192.168.100.9","192.168.100.5","UDP","60","1761  >  80 Len=0"
"112","40.405726267","192.168.100.9","192.168.100.5","UDP","60","1762  >  80 Len=0"
"113","40.406741982","192.168.100.9","192.168.100.5","UDP","60","1763  >  80 Len=0"
"114","40.406742169","192.168.100.9","192.168.100.5","UDP","60","1764  >  80 Len=0"
"115","40.407859234","192.168.100.9","192.168.100.5","UDP","60","1765  >  80 Len=0"
"116","40.407859484","192.168.100.9","192.168.100.5","UDP","60","1766  >  80 Len=0"
"117","40.408721976","192.168.100.9","192.168.100.5","UDP","60","1767  >  80 Len=0"
"118","40.410208612","192.168.100.9","192.168.100.5","UDP","60","1768  >  80 Len=0"
"119","40.410208778","192.168.100.9","192.168.100.5","UDP","60","1769  >  80 Len=0"
"120","40.410208922","192.168.100.9","192.168.100.5","UDP","60","1770  >  80 Len=0"
"121","40.411100216","192.168.100.9","192.168.100.5","UDP","60","1771  >  80 Len=0"
"122","40.411952171","192.168.100.9","192.168.100.5","UDP","60","1772  >  80 Len=0"
"123","40.411952312","192.168.100.9","192.168.100.5","UDP","60","1773  >  80 Len=0"
"124","40.412689399","192.168.100.9","192.168.100.5","UDP","60","1774  >  80 Len=0"
"125","40.413781451","192.168.100.9","192.168.100.5","UDP","60","1775  >  80 Len=0"
"126","40.413781590","192.168.100.9","192.168.100.5","UDP","60","1776  >  80 Len=0"
"127","40.413781661","192.168.100.9","192.168.100.5","UDP","60","1777  >  80 Len=0"
"128","40.415027520","192.168.100.9","192.168.100.5","UDP","60","1778  >  80 Len=0"
"129","40.415027692","192.168.100.9","192.168.100.5","UDP","60","1779  >  80 Len=0"
"130","40.415867822","192.168.100.9","192.168.100.5","UDP","60","1780  >  80 Len=0"
"131","40.416516053","192.168.100.9","192.168.100.5","UDP","60","1781  >  80 Len=0"
"132","40.418419314","192.168.100.9","192.168.100.5","UDP","60","1782  >  80 Len=0"
"133","40.418419521","192.168.100.9","192.168.100.5","UDP","60","1783  >  80 Len=0"
"134","40.418419571","192.168.100.9","192.168.100.5","UDP","60","1784  >  80 Len=0"
"135","40.418419620","192.168.100.9","192.168.100.5","UDP","60","1785  >  80 Len=0"
"136","40.419910470","192.168.100.9","192.168.100.5","UDP","60","1786  >  80 Len=0"
"137","40.419910672","192.168.100.9","192.168.100.5","UDP","60","1787  >  80 Len=0"
"138","40.419910741","192.168.100.9","192.168.100.5","UDP","60","1788  >  80 Len=0"
"139","40.420946874","192.168.100.9","192.168.100.5","UDP","60","1789  >  80 Len=0"
"140","40.420947000","192.168.100.9","192.168.100.5","UDP","60","1790  >  80 Len=0"
"141","40.420947051","192.168.100.9","192.168.100.5","UDP","60","1791  >  80 Len=0"
"142","40.421727831","192.168.100.9","192.168.100.5","UDP","60","1792  >  80 Len=0"
"143","40.422545911","192.168.100.9","192.168.100.5","UDP","60","1793  >  80 Len=0"
"144","40.423929301","192.168.100.9","192.168.100.5","UDP","60","1794  >  80 Len=0"
"145","40.423929465","192.168.100.9","192.168.100.5","UDP","60","1795  >  80 Len=0"
"146","40.424954978","192.168.100.9","192.168.100.5","UDP","60","1796  >  80 Len=0"
"147","40.424955119","192.168.100.9","192.168.100.5","UDP","60","1797  >  80 Len=0"
"148","40.424955165","192.168.100.9","192.168.100.5","UDP","60","1798  >  80 Len=0"
"149","40.425741360","192.168.100.9","192.168.100.5","UDP","60","1799  >  80 Len=0"
"150","40.425741488","192.168.100.9","192.168.100.5","UDP","60","1800  >  80 Len=0"
"151","40.426731448","192.168.100.9","192.168.100.5","UDP","60","1801  >  80 Len=0"
"152","40.427481468","192.168.100.9","192.168.100.5","UDP","60","1802  >  80 Len=0"
"153","40.427975429","192.168.100.9","192.168.100.5","UDP","60","1803  >  80 Len=0"
"154","40.428789671","192.168.100.9","192.168.100.5","UDP","60","1804  >  80 Len=0"
"155","40.429414271","192.168.100.9","192.168.100.5","UDP","60","1805  >  80 Len=0"
"156","40.430670576","192.168.100.9","192.168.100.5","UDP","60","1806  >  80 Len=0"
"157","40.430670720","192.168.100.9","192.168.100.5","UDP","60","1807  >  80 Len=0"
"158","40.431482633","192.168.100.9","192.168.100.5","UDP","60","1808  >  80 Len=0"
"159","40.432079038","192.168.100.9","192.168.100.5","UDP","60","1809  >  80 Len=0"
"160","40.432871177","192.168.100.9","192.168.100.5","UDP","60","1810  >  80 Len=0"
"161","40.433543737","192.168.100.9","192.168.100.5","UDP","60","1811  >  80 Len=0"
"162","40.434045937","192.168.100.9","192.168.100.5","UDP","60","1812  >  80 Len=0"
"163","40.434581803","192.168.100.9","192.168.100.5","UDP","60","1813  >  80 Len=0"
"164","40.435044757","192.168.100.9","192.168.100.5","UDP","60","1814  >  80 Len=0"
"165","40.435606735","192.168.100.9","192.168.100.5","UDP","60","1815  >  80 Len=0"
"166","40.436147164","192.168.100.9","192.168.100.5","UDP","60","1816  >  80 Len=0"
"167","40.436901210","192.168.100.9","192.168.100.5","UDP","60","1817  >  80 Len=0"
"168","40.437543400","192.168.100.9","192.168.100.5","UDP","60","1818  >  80 Len=0"
"169","40.438132602","192.168.100.9","192.168.100.5","UDP","60","1819  >  80 Len=0"
"170","40.438840373","192.168.100.9","192.168.100.5","UDP","60","1820  >  80 Len=0"
"171","40.439404124","192.168.100.9","192.168.100.5","UDP","60","1821  >  80 Len=0"
"172","40.440105044","192.168.100.9","192.168.100.5","UDP","60","1822  >  80 Len=0"
"173","40.440764323","192.168.100.9","192.168.100.5","UDP","60","1823  >  80 Len=0"
"174","40.441615140","192.168.100.9","192.168.100.5","UDP","60","1824  >  80 Len=0"
"175","40.442148642","192.168.100.9","192.168.100.5","UDP","60","1825  >  80 Len=0"
"176","40.442898763","192.168.100.9","192.168.100.5","UDP","60","1826  >  80 Len=0"
"177","40.443937610","192.168.100.9","192.168.100.5","UDP","60","1827  >  80 Len=0"
"178","40.443937808","192.168.100.9","192.168.100.5","UDP","60","1828  >  80 Len=0"
"179","40.444846164","192.168.100.9","192.168.100.5","UDP","60","1829  >  80 Len=0"
"180","40.445618659","192.168.100.9","192.168.100.5","UDP","60","1830  >  80 Len=0"
"181","40.446617983","192.168.100.9","192.168.100.5","UDP","60","1831  >  80 Len=0"
"182","40.447244479","192.168.100.9","192.168.100.5","UDP","60","1832  >  80 Len=0"
"183","40.448111937","192.168.100.9","192.168.100.5","UDP","60","1833  >  80 Len=0"
"184","40.448815158","192.168.100.9","192.168.100.5","UDP","60","1834  >  80 Len=0"
"185","40.449985777","192.168.100.9","192.168.100.5","UDP","60","1835  >  80 Len=0"
"186","40.449985935","192.168.100.9","192.168.100.5","UDP","60","1836  >  80 Len=0"
"187","40.450542168","192.168.100.9","192.168.100.5","UDP","60","1837  >  80 Len=0"
"188","40.451044110","192.168.100.9","192.168.100.5","UDP","60","1838  >  80 Len=0"
"189","40.451746533","192.168.100.9","192.168.100.5","UDP","60","1839  >  80 Len=0"
"190","40.452844466","192.168.100.9","192.168.100.5","UDP","60","1840  >  80 Len=0"
"191","40.452844604","192.168.100.9","192.168.100.5","UDP","60","1841  >  80 Len=0"
"192","40.453889948","192.168.100.9","192.168.100.5","UDP","60","1842  >  80 Len=0"
"193","40.453890115","192.168.100.9","192.168.100.5","UDP","60","1843  >  80 Len=0"
"194","40.454970504","192.168.100.9","192.168.100.5","UDP","60","1844  >  80 Len=0"
"195","40.455696957","192.168.100.9","192.168.100.5","UDP","60","1845  >  80 Len=0"
"196","40.455697094","192.168.100.9","192.168.100.5","UDP","60","1846  >  80 Len=0"
"197","40.456606091","192.168.100.9","192.168.100.5","UDP","60","1847  >  80 Len=0"
"198","40.457189436","192.168.100.9","192.168.100.5","UDP","60","1848  >  80 Len=0"
"199","40.457189588","192.168.100.9","192.168.100.5","UDP","60","1849  >  80 Len=0"
"200","40.458033818","192.168.100.9","192.168.100.5","UDP","60","1850  >  80 Len=0"
"201","40.458034021","192.168.100.9","192.168.100.5","UDP","60","1851  >  80 Len=0"
"202","40.458959340","192.168.100.9","192.168.100.5","UDP","60","1852  >  80 Len=0"
"203","40.460087487","192.168.100.9","192.168.100.5","UDP","60","1853  >  80 Len=0"
"204","40.460662258","192.168.100.9","192.168.100.5","UDP","60","1854  >  80 Len=0"
"205","40.462114525","192.168.100.9","192.168.100.5","UDP","60","1855  >  80 Len=0"
"206","40.462115075","192.168.100.9","192.168.100.5","UDP","60","1856  >  80 Len=0"
"207","40.463117807","192.168.100.9","192.168.100.5","UDP","60","1857  >  80 Len=0"
"208","40.463666352","192.168.100.9","192.168.100.5","UDP","60","1858  >  80 Len=0"
"209","40.464546389","192.168.100.9","192.168.100.5","UDP","60","1859  >  80 Len=0"
"210","40.465163832","192.168.100.9","192.168.100.5","UDP","60","1860  >  80 Len=0"
"211","40.465982543","192.168.100.9","192.168.100.5","UDP","60","1861  >  80 Len=0"
"212","40.466826106","192.168.100.9","192.168.100.5","UDP","60","1862  >  80 Len=0"
"213","40.467575081","192.168.100.9","192.168.100.5","UDP","60","1863  >  80 Len=0"
"214","40.468927357","192.168.100.9","192.168.100.5","UDP","60","1864  >  80 Len=0"
"215","40.468927517","192.168.100.9","192.168.100.5","UDP","60","1865  >  80 Len=0"
